timestamp_s,controller_id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w
0.0000,Left Controller,0.0000,0.2000,0.3000,0.0000,0.0000,0.0000,1.0000
0.0028,Left Controller,-0.0293,0.3000,0.3903,0.0538,-0.0339,0.0199,0.9978
0.0878,Left Controller,-0.1000,0.1500,0.6000,0.0000,0.0000,0.0000,1.0000
0.0885,Left Controller,-0.1275,0.2500,0.6294,0.0189,-0.0200,0.0154,0.9995
0.0890,Left Controller,-0.1570,0.3500,0.6538,0.0285,-0.0428,0.0341,0.9981
0.0896,Left Controller,-0.2074,0.4500,0.6744,0.0508,-0.0288,0.0717,0.9957
0.0906,Left Controller,-0.2579,0.4900,0.6969,0.0748,-0.0214,0.1132,0.9905
0.0912,Left Controller,-0.3254,0.4980,0.7185,0.0966,-0.0109,0.1170,0.9884
0.0917,Left Controller,-0.3953,0.5016,0.7386,0.1234,-0.0008,0.1155,0.9856
0.0922,Left Controller,-0.4648,0.5048,0.7592,0.1497,0.0105,0.1149,0.9820
0.0929,Left Controller,-0.5341,0.5070,0.7799,0.1761,0.0223,0.1141,0.9775
0.1076,Left Controller,-0.1000,0.1500,0.6000,0.0000,0.0000,0.0000,1.0000
0.1084,Left Controller,-0.1393,0.2500,0.6285,0.0075,-0.0403,0.0274,0.9988
0.1151,Left Controller,-0.1000,0.1500,0.6000,0.0000,0.0000,0.0000,1.0000
0.1279,Left Controller,-0.1000,0.1500,0.6000,0.0000,0.0000,0.0000,1.0000
0.1392,Left Controller,-0.1000,0.1500,0.6000,0.0000,0.0000,0.0000,1.0000
0.1479,Left Controller,-0.1000,0.1500,0.6000,0.0000,0.0000,0.0000,1.0000
0.1578,Left Controller,-0.1000,0.1500,0.6000,0.0000,0.0000,0.0000,1.0000
0.1642,Left Controller,-0.1000,0.1500,0.6000,0.0000,0.0000,0.0000,1.0000
0.1756,Left Controller,-0.1000,0.1500,0.6000,0.0000,0.0000,0.0000,1.0000
0.1889,Left Controller,-0.1000,0.1500,0.6000,0.0000,0.0000,0.0000,1.0000
0.1965,Left Controller,-0.1000,0.1500,0.6000,0.0000,0.0000,0.0000,1.0000
0.2030,Left Controller,-0.1000,0.1500,0.6000,0.0000,0.0000,0.0000,1.0000
0.2153,Left Controller,-0.1000,0.1500,0.6000,0.0000,0.0000,0.0000,1.0000
0.2268,Left Controller,-0.1000,0.1500,0.6000,0.0000,0.0000,0.0000,1.0000
0.2334,Left Controller,-0.1000,0.1500,0.6000,0.0000,0.0000,0.0000,1.0000
0.2451,Left Controller,-0.1000,0.1500,0.6000,0.0000,0.0000,0.0000,1.0000
0.2542,Left Controller,-0.1000,0.1500,0.6000,0.0000,0.0000,0.0000,1.0000
0.2653,Left Controller,-0.1000,0.1500,0.6000,0.0000,0.0000,0.0000,1.0000
0.2776,Left Controller,-0.1000,0.1500,0.6000,0.0000,0.0000,0.0000,1.0000
0.2840,Left Controller,-0.1000,0.1500,0.6000,0.0000,0.0000,0.0000,1.0000
0.2957,Left Controller,-0.1000,0.1500,0.6000,0.0000,0.0000,0.0000,1.0000
0.3068,Left Controller,-0.1000,0.1500,0.6000,0.0000,0.0000,0.0000,1.0000
0.3177,Left Controller,-0.1000,0.1500,0.6000,0.0000,0.0000,0.0000,1.0000
0.3250,Left Controller,-0.1000,0.1500,0.6000,0.0000,0.0000,0.0000,1.0000
0.3362,Left Controller,-0.1000,0.1500,0.6000,0.0000,0.0000,0.0000,1.0000
0.3431,Left Controller,-0.1000,0.1500,0.6000,0.0000,0.0000,0.0000,1.0000
0.3568,Left Controller,-0.1000,0.1500,0.6000,0.0000,0.0000,0.0000,1.0000
0.3640,Left Controller,-0.1000,0.1500,0.6000,0.0000,0.0000,0.0000,1.0000
0.3760,Left Controller,-0.1000,0.1500,0.6000,0.0000,0.0000,0.0000,1.0000
0.3866,Left Controller,-0.1000,0.1500,0.6000,0.0000,0.0000,0.0000,1.0000
0.3957,Left Controller,-0.1000,0.1500,0.6000,0.0000,0.0000,0.0000,1.0000
0.4044,Left Controller,-0.1000,0.1500,0.6000,0.0000,0.0000,0.0000,1.0000
