timestamp_s,hand_id,collider_name,contact_x,contact_y,contact_z,normal_x,normal_y,normal_z,force_N,material
0.0000,Left Controller,none,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.000,none
0.0029,Left Controller,none,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.000,none
0.0878,Left Controller,Right Controller,0.4697,0.3000,0.4218,-0.9980,0.0000,-0.0631,426.663,unknown
0.0886,Left Controller,Right Controller,0.4000,0.1500,0.6000,-1.0000,0.0000,0.0000,705.403,unknown
0.0891,Left Controller,Cube,-0.1358,0.2982,1.0878,0.0178,-0.1046,-0.9944,664.696,rubber
0.0897,Left Controller,Cube,-0.1502,0.3488,1.1531,-0.0136,0.0023,-0.9999,0.000,rubber
0.0906,Left Controller,Right Controller,0.2925,0.4500,0.6643,-0.9998,0.0000,0.0202,95.799,unknown
0.0913,Left Controller,Right Controller,0.2418,0.4900,0.6788,-0.9993,0.0000,0.0361,0.000,unknown
0.0918,Left Controller,Right Controller,0.1737,0.4991,0.6878,-0.9981,-0.0023,0.0612,0.000,unknown
0.0923,Left Controller,Right Controller,0.1032,0.5026,0.7001,-0.9970,-0.0021,0.0770,0.000,unknown
0.0929,Left Controller,Right Controller,0.0332,0.5056,0.7145,-0.9960,-0.0016,0.0893,0.000,unknown
0.1077,Left Controller,Right Controller,-0.0366,0.5076,0.7302,-0.9951,-0.0011,0.0993,0.000,unknown
0.1085,Left Controller,Right Controller,0.4000,0.1500,0.6000,-1.0000,0.0000,0.0000,320.239,unknown
0.1152,Left Controller,XR Origin (XR Rig),-0.0348,0.3806,0.1572,-0.2089,-0.2611,0.9424,1110.537,unknown
0.1280,Left Controller,XR Origin (XR Rig),-0.0251,0.3554,0.1504,-0.1499,-0.4109,0.8993,1629.105,unknown
0.1393,Left Controller,XR Origin (XR Rig),-0.0251,0.3554,0.1504,-0.1499,-0.4109,0.8993,1662.399,unknown
0.1480,Left Controller,XR Origin (XR Rig),-0.0251,0.3554,0.1504,-0.1499,-0.4109,0.8993,1603.092,unknown
0.1578,Left Controller,XR Origin (XR Rig),-0.0251,0.3554,0.1504,-0.1499,-0.4109,0.8993,1634.717,unknown
0.1643,Left Controller,XR Origin (XR Rig),-0.0251,0.3554,0.1504,-0.1499,-0.4109,0.8993,1678.849,unknown
0.1757,Left Controller,XR Origin (XR Rig),-0.0251,0.3554,0.1504,-0.1499,-0.4109,0.8993,1666.776,unknown
0.1889,Left Controller,XR Origin (XR Rig),-0.0251,0.3554,0.1504,-0.1499,-0.4109,0.8993,1659.367,unknown
0.1966,Left Controller,XR Origin (XR Rig),-0.0251,0.3554,0.1504,-0.1499,-0.4109,0.8993,1655.655,unknown
0.2031,Left Controller,XR Origin (XR Rig),-0.0251,0.3554,0.1504,-0.1499,-0.4109,0.8993,1647.916,unknown
0.2153,Left Controller,XR Origin (XR Rig),-0.0251,0.3554,0.1504,-0.1499,-0.4109,0.8993,1636.588,unknown
0.2269,Left Controller,XR Origin (XR Rig),-0.0251,0.3554,0.1504,-0.1499,-0.4109,0.8993,1627.441,unknown
0.2334,Left Controller,XR Origin (XR Rig),-0.0251,0.3554,0.1504,-0.1499,-0.4109,0.8993,1620.814,unknown
0.2452,Left Controller,XR Origin (XR Rig),-0.0251,0.3554,0.1504,-0.1499,-0.4109,0.8993,1616.318,unknown
0.2542,Left Controller,XR Origin (XR Rig),-0.0251,0.3554,0.1504,-0.1499,-0.4109,0.8993,1613.013,unknown
